transliteration,sorting,period,morphology,number,person,class,affix,semantics,root ≠ base,base,pagenumber,adjectival use,classifier_front,classifier_end,logogram,morpheme_1,morpheme_2,morpheme_3,sense_hk,certainty-weight_hk,sense_MEGA,certainty-weight_MEGA,proper_name_context,contributor,validator,lang_context,loan_lang,unicode,Wordnet,Notes,POS,variant,cognate,case,conjugation,mode,voice,frequency,rich
e-ri-en-tum4-ni,erientumni,mE,brick-of,Pl.,3rd Anim.,,-ni,,,erintum,,,,,,-ni;postp.gen,,,of bricks,1,brick,1,,f,,,Akk,,,,noun,"e-ri-en-tu4-um-ni, e-ri-en-tum4+ni",,,,,,3,"<qt><font color=""#690000"">e</font>-<font color=""#9b0000"">ri</font>-<font color=""#690000"">en</font>-<font color=""#9b0000"">tum<sub><small>4</small></sub></font>-<font color=""#c30000"">ni</font></qt>"
e-ri-en-tu4-um-im-ma,erientuumimma,mE,brick-in,,,,,,,erintum,,,,,,-ma;postp.loc,,,"of bricks, of burnt bricks",1,brick,1,,f,,,Akk,,,,noun,e-ri-en-tum4-im-ma,,,,,,1,"<qt><font color=""#690000"">e</font>-<font color=""#9b0000"">ri</font>-<font color=""#690000"">en</font>-<font color=""#b40000"">tu<sub><small>4</small></sub></font>-<font color=""#690000"">um</font>-<font color=""#b40000"">im</font>-<font color=""#b40000"">ma</font></qt>"
e-ri-en-tu4-um,erientuum,mE,brick,,,,,,,erintum,,,,,,,,,brick(s),1,brick,1,,f,,,Akk,,,,noun,e-ri-en-tum4,,,,,,2,"<qt><font color=""#690000"">e</font>-<font color=""#9b0000"">ri</font>-<font color=""#690000"">en</font>-<font color=""#b40000"">tu<sub><small>4</small></sub></font>-<font color=""#690000"">um</font></qt>"
e-ri-en-tu4-um-na,erientuumna,mE,brick-in,,,,-na,,,erintum,,,,,,-na;postp.gen,,,of bricks,1,brick,1,,f,,,Akk,,,,noun,"e-ri-[en-tum4]-na, e-ri-tum4-na",,,,,,1,"<qt><font color=""#690000"">e</font>-<font color=""#9b0000"">ri</font>-<font color=""#690000"">en</font>-<font color=""#b40000"">tu<sub><small>4</small></sub></font>-<font color=""#690000"">um</font>-na</qt>"
e-ri-en-tu4-um-ma,erientuumma,mE,brick-in,,,,,,,erintum,,,,,,-ma;postp.loc,,,"of bricks, of burnt bricks",1,brick,1,,f,,,Akk,,,,noun,e-ri-en-tum4-im-ma,,,,,,1,"<qt><font color=""#690000"">e</font>-<font color=""#9b0000"">ri</font>-<font color=""#690000"">en</font>-<font color=""#b40000"">tu<sub><small>4</small></sub></font>-<font color=""#690000"">um</font>-<font color=""#b40000"">ma</font></qt>"
e-ri-en-tu4-um-ya,erientuumya,mE,brick-of,,,,,,,erintum-ya,400,x,,,,-ya;adj,,,aus Backsteinen,1,,,,IC,,,Akk,,,,adjective,e-ri-en-tum4-ya,,,,,,5,"<qt><font color=""#690000"">e</font>-<font color=""#9b0000"">ri</font>-<font color=""#690000"">en</font>-<font color=""#b40000"">tu<sub><small>4</small></sub></font>-<font color=""#690000"">um</font>-<font color=""#9b0000"">ya</font></qt>"
e-ri-en-tu4-um-ni,erientuumni,mE,brick-in,,,,,,,erintum,,,,,,-ni;postp.gen,,,of bricks,1,brick,1,,f,,,Akk,,,,noun,e-ri-en-tum4-ni,,,,,,1,"<qt><font color=""#690000"">e</font>-<font color=""#9b0000"">ri</font>-<font color=""#690000"">en</font>-<font color=""#b40000"">tu<sub><small>4</small></sub></font>-<font color=""#690000"">um</font>-<font color=""#c30000"">ni</font></qt>"
e-ri-en-tum4-ya,erientumya,mE,brick-of,,,,,,,erintum-ya,400,x,,,,-ya;adj,,,aus Backsteinen,1,,,,IC,,,Akk,,,,adjective,e-ri-en-tu4-um-ya,,,,,,25,"<qt><font color=""#690000"">e</font>-<font color=""#9b0000"">ri</font>-<font color=""#690000"">en</font>-<font color=""#9b0000"">tum<sub><small>4</small></sub></font>-<font color=""#9b0000"">ya</font></qt>"
e-ri-ni,erini,nE,erû-na,,,,-na,,,eri,,,,,,-ni;postp.gen,,,his bronze,0.5,"copper, bronze",1,,f,,,Akk,,,,adjective,,erû,,,,,1,"<qt><font color=""#690000"">e</font>-<font color=""#9b0000"">ri</font>-<font color=""#c30000"">ni</font></qt>"
e-ri-tum4-im-ma,eritumimma,mE,brick-LOC,,,,,,,erintum,,,,,,-ma;postp.loc,,,"of bricks, of burnt bricks",1,brick,1,,f,,,Akk,,,,noun,e-ri-en-tum4-im-ma,,,,,,3,"<qt><font color=""#690000"">e</font>-<font color=""#9b0000"">ri</font>-<font color=""#9b0000"">tum<sub><small>4</small></sub></font>-<font color=""#b40000"">im</font>-<font color=""#b40000"">ma</font></qt>"
